iter	RMSE
0	634198.426
1	618536.3306
2	603456.2159
3	588796.7727
4	575073.8585
5	561393.3464
6	548096.3841
7	535336.2336
8	523179.2972
9	511092.6406
10	499521.9959
11	488438.3634
12	477596.1244
13	467142.6669
14	457030.0177
15	447342.2595
16	437905.3596
17	428712.6887
18	420052.1265
19	411587.8038
20	403540.3011
21	395635.1117
22	388153.1786
23	380984.2464
24	374022.0953
25	367356.3223
26	360873.3174
27	354670.9922
28	348699.9556
29	343004.8007
30	337330.7579
31	332121.4033
32	326936.6009
33	322087.0876
34	317400.639
35	312882.9694
36	308693.1378
37	304528.4475
38	300502.3066
39	296668.0289
40	293119.7376
41	289703.3833
42	286446.2654
43	283267.6045
44	280325.4895
45	277372.2535
46	274588.8568
47	271892.955
48	269358.878
49	266958.325
50	264577.2515
51	262428.7448
52	260351.0885
53	258276.0028
54	256377.6596
55	254492.538
56	252779.6716
57	251047.8269
58	249391.0802
59	247776.8599
60	246337.0426
61	244943.5747
62	243592.3984
63	242313.5212
64	240997.8422
65	239810.9002
66	238700.6761
67	237603.0852
68	236502.2984
69	235412.1272
70	234422.3289
71	233482.3826
72	232622.1151
73	231784.2812
74	230962.5268
75	230167.3205
76	229421.1607
77	228772.5045
78	228116.8164
79	227504.6639
80	227023.6927
81	226426.1317
82	225820.9164
83	225269.9412
84	224779.0067
85	224357.469
86	223833.6396
87	223313.9907
88	222935.4679
89	222492.6388
90	222062.4038
91	221610.1655
92	221181.3269
93	220862.5952
94	220593.1229
95	220259.8548
96	219969.6365
97	219675.6402
98	219323.0479
99	219041.9422
100	218725.5255
101	218433.0702
102	218135.1339
103	217874.9891
104	217602.6876
105	217405.1506
106	217188.7473
107	217009.4789
108	216764.2199
109	216529.2678
110	216333.7104
111	216141.1363
112	216011.8424
113	215848.3526
114	215726.5784
115	215539.4946
116	215373.2431
117	215225.9042
118	215101.703
119	214817.3291
120	214690.867
121	214530.8835
122	214336.3644
123	214186.3234
124	214043.8156
125	213883.7346
126	213773.8867
127	213628.9604
128	213533.6229
129	213427.7766
130	213342.7004
131	213229.1817
132	213147.9164
133	213061.1207
134	212935.0677
135	212877.2617
136	212801.0377
137	212655.2986
138	212552.4624
139	212450.8801
140	212332.883
141	212237.5551
142	212154.422
143	212002.7197
144	211918.2812
145	211805.7533
146	211745.6026
147	211645.7848
148	211587.8317
149	211541.1588
150	211462.4586
151	211415.6802
152	211350.9145
153	211166.7148
154	211092.6998
155	211049.7885
156	210917.2468
157	210857.5706
158	210842.2195
159	210805.6585
160	210755.2728
161	210724.3426
162	210677.3004
163	210643.4776
164	210532.2412
165	210443.3753
166	210411.509
167	210377.9019
168	210291.178
169	210257.432
170	210229.293
171	210120.4951
172	210071.0286
173	210048.4622
174	210023.9199
175	209976.2314
176	209919.3141
177	209899.2574
178	209847.1237
179	209788.3953
180	209743.299
181	209726.0435
182	209663.8798
183	209640.2071
184	209609.402
185	209593.6774
186	209480.0969
187	209464.6906
188	209397.2345
189	209285.0636
190	209270.6638
191	209257.6309
192	209226.2949
193	209114.0627
194	209076.138
195	209016.6551
196	209002.7794
197	208976.8617
198	208925.9654
199	208916.8413
200	208906.7052
201	208858.8248
202	208811.9623
203	208783.0811
204	208729.0637
205	208700.8903
206	208689.2007
207	208683.0497
208	208674.1582
209	208656.9601
210	208648.8763
211	208637.7192
212	208630.3751
213	208600.1326
214	208593.9203
215	208587.0073
216	208541.2106
217	208535.1812
218	208447.2572
219	208441.0087
220	208434.4083
221	208426.2748
222	208420.8131
223	208416.3739
224	208333.924
225	208312.0041
226	208239.9736
227	208181.5349
228	208178.145
229	208161.2301
230	208149.1971
231	208082.238
232	208061.1162
233	208052.8395
234	208047.0449
235	208025.8655
236	208020.3328
237	207964.5042
238	207909.5239
239	207885.2903
240	207882.6774
241	207879.6591
242	207820.2885
243	207793.5083
244	207771.8445
245	207745.752
246	207726.7637
247	207724.8984
248	207704.4735
249	207652.8792
250	207644.245
251	207519.4396
252	207515.3867
253	207513.8606
254	207512.3305
255	207510.953
256	207494.0293
257	207490.2637
258	207478.376
259	207476.2548
260	207475.1492
261	207421.3111
262	207341.0614
263	207338.6218
264	207335.1826
265	207319.9779
266	207252.0461
267	207248.9658
268	207231.7223
269	207212.0592
270	207197.8065
271	207197.0232
272	207185.2391
273	207184.3882
274	207183.6933
275	207170.9847
276	207114.0593
277	207111.9675
278	207110.985
279	207066.3038
280	207065.7642
281	207065.3193
282	207018.9222
283	207016.2571
284	207015.8503
285	206998.2303
286	206997.7603
287	206974.0461
288	206867.2059
289	206833.3297
290	206830.7447
291	206820.0483
292	206819.7777
293	206817.4615
294	206817.2136
295	206803.9425
296	206716.2809
297	206706.5481
298	206687.5737
299	206674.9298
300	206674.4115
301	206674.2275
302	206605.2201
303	206605.0765
304	206602.1996
305	206602.0178
306	206601.8307
307	206497.6081
308	206460.9985
309	206459.7794
310	206438.2931
311	206329.7256
312	206323.6817
313	206302.7243
314	206300.7851
315	206257.3409
316	206243.5168
317	206241.8087
318	206202.5199
319	206110.5894
320	206110.5249
321	206079.3735
322	206078.5432
323	206065.4348
324	206063.9165
325	206044.6856
326	206044.5719
327	206043.0324
328	206013.8461
329	205910.8796
330	205904.1366
331	205902.6773
332	205901.9891
333	205865.0175
334	205863.6431
335	205855.8786
336	205855.7882
337	205855.2954
338	205853.9107
339	205852.6434
340	205852.6189
341	205827.4802
342	205827.2885
343	205827.2671
344	205799.2147
345	205790.2078
346	205788.971
347	205788.9578
348	205788.893
349	205772.7197
350	205762.6964
351	205762.5609
352	205714.1474
353	205701.6499
354	205698.892
355	205620.2438
356	205614.8488
357	205614.8462
358	205614.8438
359	205585.153
360	205575.3985
361	205550.0382
362	205549.0268
363	205528.9975
364	205512.7004
365	205495.2106
366	205489.6448
367	205480.1942
368	205372.5892
369	205334.4545
370	205333.5133
371	205322.2662
372	205322.2648
373	205221.2017
374	205215.6112
375	205215.6073
376	205215.6035
377	205215.5433
378	205213.0152
379	205212.9693
380	205166.2203
381	205155.4241
382	205153.0243
383	205152.2393
384	205151.4479
385	205151.4425
386	205042.9789
387	205026.9149
388	205026.1126
389	205025.3317
390	205025.3275
391	205025.28
392	205024.5209
393	205016.9251
394	204947.7687
395	204938.3806
396	204938.3555
397	204937.6529
398	204929.0583
399	204929.0136
400	204838.1848
401	204789.4856
402	204789.4326
403	204788.182
404	204752.6678
405	204752.623
406	204745.5475
407	204705.9365
408	204627.0465
409	204626.2733
410	204625.5681
411	204625.1718
412	204625.1299
413	204625.125
414	204625.0841
415	204625.0795
416	204585.361
417	204584.61
418	204584.0329
419	204583.473
420	204582.894
421	204576.6003
422	204576.5901
423	204575.7255
424	204575.6721
425	204569.2143
426	204556.5024
427	204556.4595
428	204556.4524
429	204556.4442
430	204556.4363
431	204556.4301
432	204556.3893
433	204549.9418
434	204548.5266
435	204547.9226
436	204547.9158
437	204534.5558
438	204525.6926
439	204525.6545
440	204518.0032
441	204484.162
442	204480.1518
443	204426.1964
444	204426.1426
445	204426.1019
446	204301.4732
447	204301.4627
448	204301.4226
449	204301.3846
450	204301.3742
451	204294.0512
452	204293.6218
453	204293.5856
454	204293.2758
455	204287.6594
456	204284.3197
457	204280.6379
458	204279.3844
459	204277.2591
460	204274.0279
461	204263.6249
462	204086.7212
463	204086.6835
464	204086.6418
465	204086.606
466	204080.3501
467	204080.289
468	204080.2811
469	204067.4327
470	204064.5849
471	204064.5519
472	204064.1897
473	204064.1582
474	204064.1263
475	204058.1561
476	204058.1273
477	204058.1003
478	203993.0243
479	203958.9517
480	203946.7395
481	203946.7156
482	203939.9428
483	203919.9992
484	203823.0023
485	203817.6287
486	203817.2831
487	203817.2588
488	203812.1451
489	203804.9839
490	203804.6464
491	203804.6455
492	203799.7067
493	203690.6074
494	203686.7617
495	203618.6351
496	203618.3051
497	203614.0514
498	203571.2202
499	203517.8878
500	203517.7094
501	203517.4569
502	203512.2008
503	203512.1771
504	203512.155
505	203511.8359
506	203509.6864
