iter	Passed	Remaining
0	51	51133
1	95	47700
2	145	48330
3	195	48702
4	225	44782
5	269	44635
6	315	44803
7	361	44807
8	409	45057
9	453	44852
10	498	44822
11	549	45228
12	595	45176
13	639	45052
14	684	44958
15	727	44761
16	771	44610
17	820	44736
18	865	44689
19	909	44574
20	956	44569
21	1002	44582
22	1049	44599
23	1093	44464
24	1136	44335
25	1185	44417
26	1233	44455
27	1281	44483
28	1329	44522
29	1376	44500
30	1422	44453
31	1468	44422
32	1516	44442
33	1564	44450
34	1609	44376
35	1653	44272
36	1699	44235
37	1745	44193
38	1793	44184
39	1836	44069
40	1880	43986
41	1926	43941
42	1976	43989
43	2022	43935
44	2068	43899
45	2113	43828
46	2158	43772
47	2210	43832
48	2251	43705
49	2299	43692
50	2344	43633
51	2383	43461
52	2431	43442
53	2480	43456
54	2516	43239
55	2563	43217
56	2607	43134
57	2651	43064
58	2696	43011
59	2740	42927
60	2784	42868
61	2826	42765
62	2871	42703
63	2914	42631
64	2959	42566
65	3006	42546
66	3056	42558
67	3099	42481
68	3144	42421
69	3187	42347
70	3231	42281
71	3271	42165
72	3313	42076
73	3357	42016
74	3400	41944
75	3442	41850
76	3484	41763
77	3527	41700
78	3573	41656
79	3621	41648
80	3667	41613
81	3709	41533
82	3754	41476
83	3797	41408
84	3845	41396
85	3893	41380
86	3946	41414
87	4001	41471
88	4066	41628
89	4136	41829
90	4206	42020
91	4274	42189
92	4401	42922
93	4462	43015
94	4499	42859
95	4541	42770
96	4590	42730
97	4619	42522
98	4662	42430
99	4706	42362
100	4748	42264
101	4792	42192
102	4828	42054
103	4874	41997
104	4922	41956
105	4965	41881
106	5009	41812
107	5059	41785
108	5106	41738
109	5152	41687
110	5197	41630
111	5240	41546
112	5287	41504
113	5332	41440
114	5355	41212
115	5398	41136
116	5440	41056
117	5484	40997
118	5522	40887
119	5571	40856
120	5614	40783
121	5658	40720
122	5689	40564
123	5727	40464
124	5770	40396
125	5812	40315
126	5854	40241
127	5903	40216
128	5930	40039
129	5967	39934
130	6012	39881
131	6058	39837
132	6092	39717
133	6143	39706
134	6193	39686
135	6239	39638
136	6283	39581
137	6327	39521
138	6374	39484
139	6422	39449
140	6469	39413
141	6516	39374
142	6564	39342
143	6615	39327
144	6687	39433
145	6725	39338
146	6792	39416
147	6839	39371
148	6883	39317
149	6909	39153
150	6952	39093
151	6998	39046
152	7045	39005
153	7087	38933
154	7122	38827
155	7171	38797
156	7224	38793
157	7267	38728
158	7288	38552
159	7314	38399
160	7360	38355
161	7400	38281
162	7441	38211
163	7486	38162
164	7522	38070
165	7573	38048
166	7632	38069
167	7684	38054
168	7737	38044
169	7780	37985
170	7827	37948
171	7872	37900
172	7920	37865
173	7940	37695
174	7996	37698
175	8052	37698
176	8099	37662
177	8133	37562
178	8178	37512
179	8222	37460
180	8270	37421
181	8305	37328
182	8356	37309
183	8410	37298
184	8457	37260
185	8487	37143
186	8540	37131
187	8569	37011
188	8618	36980
189	8662	36930
190	8696	36834
191	8726	36721
192	8761	36634
193	8803	36575
194	8847	36523
195	8890	36470
196	8934	36418
197	8978	36365
198	9022	36318
199	9051	36207
200	9081	36100
201	9122	36038
202	9163	35975
203	9197	35888
204	9240	35836
205	9281	35773
206	9315	35686
207	9356	35625
208	9374	35480
209	9399	35360
210	9455	35356
211	9500	35312
212	9527	35201
213	9566	35137
214	9587	35007
215	9631	34957
216	9675	34911
217	9708	34824
218	9748	34764
219	9783	34688
220	9818	34609
221	9851	34525
222	9887	34449
223	9913	34341
224	9956	34293
225	10003	34259
226	10048	34218
227	10092	34172
228	10120	34075
229	10150	33981
230	10194	33936
231	10237	33891
232	10266	33795
233	10317	33775
234	10341	33666
235	10386	33623
236	10424	33562
237	10470	33523
238	10543	33570
239	10589	33532
240	10618	33442
241	10655	33374
242	10713	33374
243	10764	33351
244	10812	33321
245	10854	33268
246	10912	33267
247	10933	33152
248	10987	33139
249	11034	33103
250	11087	33085
251	11141	33070
252	11172	32986
253	11218	32947
254	11253	32879
255	11275	32770
256	11330	32757
257	11363	32680
258	11413	32655
259	11466	32634
260	11491	32538
261	11541	32511
262	11595	32493
263	11664	32518
264	11709	32476
265	11755	32437
266	11789	32366
267	11814	32270
268	11880	32285
269	11934	32267
270	11993	32261
271	12023	32181
272	12074	32155
273	12131	32144
274	12176	32102
275	12214	32040
276	12269	32024
277	12329	32022
278	12376	31984
279	12457	32033
280	12511	32014
281	12536	31918
282	12593	31905
283	12661	31922
284	12700	31861
285	12755	31843
286	12795	31788
287	12853	31776
288	12904	31747
289	12955	31717
290	13004	31685
291	13064	31678
292	13093	31593
293	13138	31550
294	13160	31451
295	13209	31416
296	13261	31389
297	13314	31365
298	13366	31336
299	13413	31297
300	13452	31239
301	13486	31171
302	13535	31136
303	13557	31039
304	13601	30994
305	13638	30932
306	13671	30861
307	13724	30835
308	13776	30806
309	13811	30742
310	13858	30703
311	13907	30668
312	13952	30623
313	13996	30578
314	14038	30527
315	14082	30483
316	14120	30422
317	14148	30342
318	14200	30314
319	14249	30279
320	14273	30192
321	14316	30145
322	14350	30079
323	14391	30026
324	14410	29930
325	14465	29906
326	14491	29825
327	14536	29781
328	14565	29707
329	14610	29663
330	14664	29638
331	14691	29559
332	14743	29531
333	14799	29511
334	14818	29416
335	14870	29386
336	14906	29326
337	14943	29267
338	14974	29198
339	15002	29122
340	15027	29041
341	15074	29003
342	15125	28971
343	15145	28881
344	15186	28832
345	15233	28793
346	15283	28761
